No,UID,DiffX,DiffY,DiffZ,Angle
625,A into Plate Return,-30.185089,0.102008,-59.821728,150
632,A into Plate Return,-59.982868,-0.080266,-30.018225,120
644,A into Plate Return,-89.660034,-0.32558,-0.118125,90
652,A into Plate Return,-60.077564,-0.559775,29.914175,60
661,A into Plate Return,-29.986525,-0.728558,60.000671,30
672,A into Plate Return,0.119498,-0.778568,89.213997,0
1256,A Parallel Return,0.080848,-0.74874,89.2463,360
1266,A Parallel Return,0.004647,-30.703587,59.296135,330
1283,A Parallel Return,-0.102272,-60.527954,29.473177,300
1297,A Parallel Return,-0.203687,-89.566055,-0.386049,270
1308,A Parallel Return,-0.278844,-59.689625,-30.317064,240
1316,A Parallel Return,-0.294247,-29.773724,-60.227348,210
1329,A Parallel Return,-0.271241,0.144196,-89.699539,180
1337,A Parallel Return,-0.20618,30.05846,-59.9436,150
1355,A Parallel Return,-0.119498,60.017139,-29.980995,120
1364,A Parallel Return,-0.020841,89.845116,0.147898,90
1371,A Parallel Return,0.061941,59.594353,30.398195,60
1379,A Parallel Return,0.098855,29.373981,60.618824,30
1386,A Parallel Return,0.080288,-0.749663,89.246857,0
1528,Skewed,1.274469,-1.021948,88.361801,360
1520,Skewed,-7.360765,-29.532032,59.384926,330
1514,Skewed,-14.126849,-56.612949,29.553459,300
1504,Skewed,-17.171417,-72.837456,-0.294983,270
1495,Skewed,-15.535555,-55.288174,-30.173363,240
1488,Skewed,-9.748649,-28.042021,-60.027145,210
1478,Skewed,-1.481133,0.423885,-88.465546,180
1470,Skewed,7.16153,28.901857,-60.057877,150
1461,Skewed,14.007727,56.177448,-30.08013,120
1455,Skewed,17.132189,72.858467,0.056426,90
1445,Skewed,15.494364,55.203987,30.274611,60
1437,Skewed,9.619831,27.649328,60.44302,30
1425,Skewed,1.267163,-1.020663,88.368736,0
165,22 into,0.254564,-0.737644,89.219681,0
170,22 into,-29.877285,-0.596151,60.117207,30
177,22 into,-59.925667,-0.416602,30.071844,60
186,22 into,-89.750305,-0.240502,0.07608,90
193,22 into,-60.178673,-0.129792,-29.829458,120
202,22 into,-30.371822,-0.109039,-59.634071,150
212,22 into,-0.538462,-0.183054,-89.43821,180
219,22 into,29.374777,-0.332985,-60.623444,210
227,22 into,59.33345,-0.511952,-30.662416,240
234,22 into,89.070419,-0.673923,-0.641118,270
241,22 into,60.544636,-0.780359,29.438692,300
247,22 into,30.424713,-0.804771,59.559292,330
254,22 into,0.254586,-0.736062,89.221161,360
267,22 parallel,0.234053,-0.726427,89.236267,0
275,22 parallel,0.438333,29.445957,60.546169,30
284,22 parallel,0.473093,59.710476,30.276426,60
291,22 parallel,0.33349,89.655342,-0.06795,90
300,22 parallel,0.071895,59.682926,-30.315193,120
306,22 parallel,-0.236019,29.678108,-60.321514,150
313,22 parallel,-0.515555,-0.192393,-89.454758,180
323,22 parallel,-0.708102,-29.990313,-60.002594,210
328,22 parallel,-0.768812,-59.723103,-30.27219,240
334,22 parallel,-0.662564,-89.176826,-0.495176,270
341,22 parallel,-0.414459,-60.669601,29.325865,300
348,22 parallel,-0.081815,-30.771795,59.228638,330
356,22 parallel,0.237019,-0.72557,89.238037,360
377,22 skewed,0.659388,-0.791862,88.968948,0
392,22 skewed,8.566517,28.107388,60.371758,30
398,22 skewed,14.246807,56.012882,30.126047,60
406,22 skewed,16.010635,73.978317,-0.223374,90
411,22 skewed,13.294666,56.16061,-30.477331,120
418,22 skewed,6.905388,28.01737,-60.998833,150
424,22 skewed,-0.988187,-0.126057,-89.010834,180
436,22 skewed,-8.850572,-29.119062,-59.316746,210
442,22 skewed,-14.268818,-56.043625,-30.089764,240
450,22 skewed,-16.044243,-73.956108,-0.334797,270
458,22 skewed,-13.490151,-57.010906,29.471037,300
465,22 skewed,-7.358006,-29.55637,59.361813,330
470,22 skewed,0.67511,-0.809407,88.94635,360
