No,UID,X,Y,Z,Angle
895,1000101018,0.436926,-2.317786,87.642967,1.07101152
905,1000101018,1.013324,-2.319214,87.469391,2.14202304
915,1000101018,1.021399,-2.320148,87.464638,2.14202304
926,1000101018,1.59137,-2.324652,87.176895,3.21303456
936,1000101018,1.598071,-2.324158,87.179344,3.21303456
946,1000101018,1.598236,-2.32674,87.175537,3.21303456
956,1000101018,1.601147,-2.329266,87.174782,3.21303456
966,1000101018,2.189246,-2.334979,86.795135,4.284046081
976,1000101018,2.188916,-2.331793,86.793533,4.284046081
986,1000101018,2.774982,-2.341681,86.366516,5.355057601
996,1000101018,2.77229,-2.339429,86.363258,5.355057601
1006,1000101018,2.783331,-2.336023,86.363251,5.355057601
1016,1000101018,2.773059,-2.335803,86.370949,5.355057601
1026,1000101018,2.190948,-2.334759,86.797745,4.284046081
1036,1000101018,2.178589,-2.33009,86.80098,4.284046081
1046,1000101018,2.189026,-2.33031,86.798378,4.284046081
1056,1000101018,1.60351,-2.323444,87.176506,3.21303456
1066,1000101018,1.605157,-2.325146,87.174774,3.21303456
1086,1000101018,1.022003,-2.320148,87.464104,2.14202304
1096,1000101018,1.020136,-2.319653,87.466904,2.14202304
1106,1000101018,0.437421,-2.31839,87.640312,1.07101152
1116,1000101018,0.438409,-2.316412,87.641121,1.07101152
1126,1000101018,0.438354,-2.312787,87.64595,1.07101152
1136,1000101018,-0.143756,-2.308337,87.690765,0
1146,1000101018,-0.14881,-2.307513,87.686813,0
1156,1000101018,-0.71543,-2.298944,87.591911,-1.07101152
1166,1000101018,-0.72746,-2.300537,87.589035,-1.07101152
1176,1000101018,-0.72334,-2.302405,87.586449,-1.07101152
1186,1000101018,-1.293695,-2.295923,87.366486,-2.14202304
1196,1000101018,-1.289301,-2.296088,87.369659,-2.14202304
1206,1000101018,-1.291443,-2.296637,87.364967,-2.14202304
1216,1000101018,-1.864709,-2.289001,87.047073,-3.21303456
1226,1000101018,-2.434241,-2.280322,86.664612,-4.284046081
1236,1000101018,-2.99685,-2.279224,86.234093,-5.355057601
726,1000101019,-2.907806,-2.352887,86.261902,-5.355057601
736,1000101019,-2.353217,-2.354865,86.670662,-4.284046081
746,1000101019,-2.359479,-2.355689,86.670059,-4.284046081
756,1000101019,-2.347064,-2.354974,86.677986,-4.284046081
766,1000101019,-1.779071,-2.357172,87.048897,-3.21303456
776,1000101019,-1.782916,-2.355798,87.043137,-3.21303456
786,1000101019,-1.790881,-2.35816,87.039597,-3.21303456
796,1000101019,-1.208826,-2.356732,87.346161,-2.14202304
