No,UID,X,Y,Z,Angle
793,1000101026,-87.539841,-2.251758,0.977289,-3.21303456
803,1000101026,-87.542542,-2.253351,0.981079,-3.21303456
813,1000101026,-87.545609,-2.260382,0.979047,-3.21303456
823,1000101026,-88.04538,-1.692609,0.979431,-2.14202304
833,1000101026,-88.05027,-1.685962,0.980255,-2.14202304
843,1000101026,-88.054726,-1.684808,0.983936,-2.14202304
853,1000101026,-88.511757,-1.116596,0.985803,-1.07101152
863,1000101026,-88.878197,-0.547504,0.985748,0
873,1000101026,-88.876427,-0.547174,0.98443,0
883,1000101026,-88.878342,-0.541187,0.985309,0
893,1000101026,-89.012482,0.037408,0.98454,1.07101152
903,1000101026,-89.019524,0.033014,0.984705,1.07101152
913,1000101026,-89.015549,0.030597,0.984595,1.07101152
924,1000101026,-88.833923,0.612653,0.990253,2.14202304
934,1000101026,-88.837746,0.61062,0.986078,2.14202304
944,1000101026,-88.447433,1.193994,0.993658,3.21303456
954,1000101026,-88.451286,1.195917,0.988495,3.21303456
964,1000101026,-88.450607,1.1935,0.990198,3.21303456
974,1000101026,-88.450294,1.190314,0.987561,3.21303456
984,1000101026,-87.965881,1.775391,0.989429,4.284046081
994,1000101026,-87.963211,1.781598,0.987726,4.284046081
1004,1000101026,-87.434723,2.364258,0.992834,5.355057601
1014,1000101026,-87.437836,2.363983,0.990967,5.355057601
1024,1000101026,-87.437424,2.36239,0.99234,5.355057601
1034,1000101026,-87.431885,2.364642,0.990912,5.355057601
1044,1000101026,-87.966209,1.777478,0.993604,4.284046081
1054,1000101026,-87.961113,1.781818,0.99234,4.284046081
1064,1000101026,-87.962929,1.775775,0.988934,4.284046081
1074,1000101026,-88.450218,1.190753,0.989429,3.21303456
1084,1000101026,-88.44928,1.190369,0.985693,3.21303456
1104,1000101026,-88.834198,0.608148,0.995526,2.14202304
1114,1000101026,-88.832855,0.611499,0.987067,2.14202304
1124,1000101026,-89.008881,0.034222,0.988165,1.07101152
1134,1000101026,-89.005852,0.0323,0.98866,1.07101152
1144,1000101026,-89.015457,0.02829,0.986407,1.07101152
1154,1000101026,-88.86747,-0.543329,0.9841,0
1164,1000101026,-88.867752,-0.542285,0.991296,0
1174,1000101026,-88.510979,-1.116266,0.988275,-1.07101152
1184,1000101026,-88.509377,-1.115772,0.982343,-1.07101152
1194,1000101026,-88.514259,-1.118079,0.987067,-1.07101152
1204,1000101026,-88.048622,-1.682941,0.988001,-2.14202304
1214,1000101026,-88.044159,-1.688269,0.981628,-2.14202304
1224,1000101026,-88.051094,-1.686346,0.987506,-2.14202304
1234,1000101026,-87.542625,-2.252801,0.983716,-3.21303456
1244,1000101026,-87.018021,-2.821234,0.977838,-4.284046081
1254,1000101026,-86.477386,-3.381317,0.982452,-5.355057601
