UID,VBAT,DID,Y,M,D,H,M,S,X,Y,Z,T,CHECKSUM
1000101022,4328,0,2019,11,13,13,53,0,13.686091,-9.395837,73.950157,18.700000,78
1000101022,4333,1,2019,11,13,13,52,59,-5.779686,-16.901297,74.987930,19.000000,214
1000101022,4334,2,2019,11,13,13,53,1,-4.935895,-6.174700,55.242393,19.000000,17
1000101022,4313,3,2019,11,13,13,53,8,24.107456,16.430223,61.574776,19.100000,50
1000101022,4337,4,2019,11,13,13,53,10,24.504583,22.364662,50.688339,19.200000,89
1000101022,4342,5,2019,11,13,13,53,13,20.619291,23.346405,70.448631,19.200000,230
1000101022,4343,6,2019,11,13,13,53,15,15.713304,10.688903,60.401642,19.300000,189
1000101022,4348,7,2019,11,13,13,53,17,21.939959,5.857514,42.753021,19.300000,33
1000101022,4349,8,2019,11,13,13,53,20,29.890755,21.002581,81.039825,19.300000,143
1000101022,4330,9,2019,11,13,13,53,24,0.253367,-0.624716,89.577385,19.300000,124
1000101022,4355,10,2019,11,13,13,53,26,0.247093,-0.156555,89.729713,19.300000,5
1000101022,4361,11,2019,11,13,13,53,29,0.252620,-0.719956,89.217583,19.300000,1
1000101022,4363,12,2019,11,13,13,53,31,0.255905,-0.745873,89.217957,19.300000,46
1000101022,4366,13,2019,11,13,13,53,34,0.253015,-0.739138,89.216194,19.300000,10
1000101022,4369,14,2019,11,13,13,53,36,0.256234,-0.741478,89.215080,19.300000,111
1000101022,4372,15,2019,11,13,13,53,38,0.252828,-0.739764,89.218887,19.300000,154
1000101022,4377,16,2019,11,13,13,53,41,0.254938,-0.740182,89.216377,19.400000,157
1000101022,4378,17,2019,11,13,13,53,43,0.253268,-0.741808,89.215248,19.400000,35
1000101022,4383,18,2019,11,13,13,53,45,0.252235,-0.742203,89.217316,19.400000,143
1000101022,4384,19,2019,11,13,13,53,48,0.255663,-0.742764,89.216263,19.400000,180
1000101022,4387,20,2019,11,13,13,53,50,0.248928,-0.740281,89.217873,19.400000,34
1000101022,4392,21,2019,11,13,13,53,53,0.254465,-0.739698,89.216736,19.400000,127
1000101022,4395,22,2019,11,13,13,53,55,0.254136,-0.737567,89.216423,19.300000,28
1000101022,4398,23,2019,11,13,13,53,57,0.250389,-0.739808,89.216454,19.300000,168
1000101022,4401,24,2019,11,13,13,54,0,0.255037,-0.739424,89.216797,19.400000,14
1000101022,4404,25,2019,11,13,13,54,2,0.253619,-0.738655,89.215912,19.300000,76
1000101022,4408,26,2019,11,13,13,54,4,0.253696,-0.741302,89.216217,19.400000,248
1000101022,4410,27,2019,11,13,13,54,7,0.255696,-0.739918,89.215828,19.400000,209
1000101022,4414,28,2019,11,13,13,54,9,0.254806,-0.739127,89.217163,19.400000,245
1000101022,4416,29,2019,11,13,13,54,12,0.254235,-0.739523,89.219711,19.400000,45
1000101022,4419,30,2019,11,13,13,54,14,0.252235,-0.740435,89.217201,19.400000,20
1000101022,4422,31,2019,11,13,13,54,16,0.250994,-0.739512,89.219002,19.400000,15
1000101022,4425,32,2019,11,13,13,54,19,0.254487,-0.736985,89.218079,19.400000,38
1000101022,4427,33,2019,11,13,13,54,21,0.253356,-0.739281,89.217140,19.400000,196
1000101022,4433,34,2019,11,13,13,54,23,0.251719,-0.739028,89.217918,19.400000,171
1000101022,4434,35,2019,11,13,13,54,26,0.252455,-0.739523,89.215385,19.400000,144
1000101022,4437,36,2019,11,13,13,54,28,0.250763,-0.740709,89.215775,19.400000,193
1000101022,4440,37,2019,11,13,13,54,31,0.255399,-0.741566,89.216270,19.400000,27
1000101022,4443,38,2019,11,13,13,54,33,0.254312,-0.740775,89.215744,19.300000,225
1000101022,4445,39,2019,11,13,13,54,35,0.252576,-0.738710,89.218170,19.400000,28
1000101022,4448,40,2019,11,13,13,54,38,0.253081,-0.739105,89.217735,19.300000,86
1000101022,4452,41,2019,11,13,13,54,40,0.253927,-0.740006,89.217010,19.400000,137
1000101022,4454,42,2019,11,13,13,54,43,0.256739,-0.740347,89.217407,19.300000,240
1000101022,4458,43,2019,11,13,13,54,45,0.254751,-0.739688,89.221931,19.400000,65
1000101022,4461,44,2019,11,13,13,54,47,0.255696,-0.738545,89.217323,19.400000,38
1000101022,4464,45,2019,11,13,13,54,50,0.255531,-0.739094,89.217690,19.400000,116
1000101022,4466,46,2019,11,13,13,54,52,0.254465,-0.740325,89.218346,19.400000,250
1000101022,4467,47,2019,11,13,13,54,54,0.252916,-0.738083,89.218559,19.300000,7
1000101022,4470,48,2019,11,13,13,54,57,0.253235,-0.737589,89.216194,19.400000,34
1000101022,4473,49,2019,11,13,13,54,59,0.253740,-0.738369,89.217857,19.300000,216
1000101022,4475,50,2019,11,13,13,55,2,0.254147,-0.740720,89.218086,19.300000,3
1000101022,4480,51,2019,11,13,13,55,4,0.257563,-0.740424,89.218437,19.400000,56
1000101022,4481,52,2019,11,13,13,55,6,0.254158,-0.741006,89.220207,19.300000,203
1000101022,4484,53,2019,11,13,13,55,9,0.254191,-0.740907,89.218117,19.400000,240
1000101022,4484,54,2019,11,13,13,55,11,0.253729,-0.738534,89.217201,19.400000,5
1000101022,4489,55,2019,11,13,13,55,13,0.253828,-0.737084,89.218895,19.400000,143
1000101022,4490,56,2019,11,13,13,55,16,0.254026,-0.739303,89.216927,19.400000,150
1000101022,4490,57,2019,11,13,13,55,18,0.252751,-0.740391,89.219200,19.400000,205
1000101022,4493,58,2019,11,13,13,55,21,0.255454,-0.739138,89.218330,19.300000,98
1000101022,4495,59,2019,11,13,13,55,23,0.252872,-0.737249,89.217094,19.300000,88
1000101022,4498,60,2019,11,13,13,55,25,0.255125,-0.737260,89.218956,19.400000,4
1000101022,4498,61,2019,11,13,13,55,28,0.255223,-0.737216,89.216072,19.400000,185
1000101022,4499,62,2019,11,13,13,55,30,0.251862,-0.740237,89.217682,19.300000,171
1000101022,4502,63,2019,11,13,13,55,32,0.252806,-0.739127,89.218575,19.300000,174
1000101022,4504,64,2019,11,13,13,55,35,0.253015,-0.740446,89.219620,19.300000,68
1000101022,4507,65,2019,11,13,13,55,37,0.255553,-0.738721,89.216942,19.300000,14
1000101022,4507,66,2019,11,13,13,55,40,0.255245,-0.738534,89.218628,19.300000,135
1000101022,4508,67,2019,11,13,13,55,42,0.253257,-0.738501,89.218895,19.400000,233
1000101022,4510,68,2019,11,13,13,55,44,0.254938,-0.738743,89.217545,19.300000,48
1000101022,4511,69,2019,11,13,13,55,47,0.253938,-0.739127,89.219101,19.400000,159
1000101022,4511,70,2019,11,13,13,55,49,0.255981,-0.739622,89.220665,19.400000,173
1000101022,4513,71,2019,11,13,13,55,51,0.254971,-0.736216,89.219803,19.300000,160
1000101022,4514,72,2019,11,13,13,55,54,0.252949,-0.735919,89.220253,19.300000,108
1000101022,4517,73,2019,11,13,13,55,56,0.253422,-0.738336,89.218658,19.400000,49
1000101022,4519,74,2019,11,13,13,55,59,0.254696,-0.737600,89.215775,19.300000,242
1000101022,4519,75,2019,11,13,13,56,1,0.253993,-0.735974,89.219063,19.300000,20
1000101022,4520,76,2019,11,13,13,56,3,0.251916,-0.739017,89.218040,19.300000,191
1000101022,4522,77,2019,11,13,13,56,6,0.253564,-0.738380,89.218735,19.400000,190
1000101022,4522,78,2019,11,13,13,56,8,0.251136,-0.738073,89.219048,19.300000,41
1000101022,4522,79,2019,11,13,13,56,10,0.253663,-0.737183,89.218842,19.300000,179
1000101022,4525,80,2019,11,13,13,56,13,0.252982,-0.737721,89.217751,19.300000,71
1000101022,4525,81,2019,11,13,13,56,15,0.251960,-0.738589,89.218231,19.300000,187
1000101022,4528,82,2019,11,13,13,56,18,0.250356,-0.737380,89.217911,19.300000,249
1000101022,4528,83,2019,11,13,13,56,20,0.251169,-0.739116,89.217201,19.300000,163
1000101022,4528,84,2019,11,13,13,56,22,0.252740,-0.738896,89.217003,19.300000,248
1000101022,4530,85,2019,11,13,13,56,25,0.252180,-0.737347,89.218597,19.300000,253
1000101022,4531,86,2019,11,13,13,56,27,0.254202,-0.738940,89.220222,19.300000,154
1000101022,4530,87,2019,11,13,13,56,29,0.255278,-0.738611,89.218079,19.300000,135
1000101022,4533,88,2019,11,13,13,56,32,0.256333,-0.736216,89.218239,19.400000,185
1000101022,4533,89,2019,11,13,13,56,34,0.253597,-0.740050,89.220802,19.300000,47
1000101022,4533,90,2019,11,13,13,56,37,0.253477,-0.737446,89.217781,19.300000,157
1000101022,4533,91,2019,11,13,13,56,39,0.465974,-0.744302,88.688759,19.400000,136
1000101022,4534,92,2019,11,13,13,56,41,0.642382,-0.738292,89.149544,19.300000,62
1000101022,4534,93,2019,11,13,13,56,44,0.287886,-0.738962,89.216385,19.300000,15
1000101022,4536,94,2019,11,13,13,56,46,0.263408,-0.739567,89.215569,19.400000,104
1000101022,4536,95,2019,11,13,13,56,49,0.254817,-0.736403,89.217346,19.300000,237
1000101022,4537,96,2019,11,13,13,56,51,0.255696,-0.736589,89.220779,19.300000,40
1000101022,4537,97,2019,11,13,13,56,53,0.255234,-0.738303,89.220497,19.300000,225
1000101022,4537,98,2019,11,13,13,56,56,0.253850,-0.737677,89.218178,19.300000,138
1000101022,4539,99,2019,11,13,13,56,58,0.255344,-0.738062,89.216934,19.300000,97
1000101022,4540,100,2019,11,13,13,57,0,0.254894,-0.739896,89.219368,19.300000,229
